origin_sheet,id,progressivo,tipo_veicolo,destinazione,uso,comune_residenza,provincia_residenza,regione_residenza,eta_intestatario,sesso,marca,cilindrata,alimentazione,kw,data_immatricolazione,classe_euro,emissioni_co2,massa_complessiva,revisione_in_regola,assicurazione_in_regola
inputFileOne,832554,35904140,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CAMPLI,TERAMO,ABRUZZO,57,M,FIAT - INNOCENTI,1248.00,GASOL,55,2014-04-30 00:00:00,5,107,1710,S,S
inputFileOne,264578,10313205,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CITTA' SANT'ANGELO,PESCARA,ABRUZZO,33,F,TOYOTA,998.00,BENZ,50,2010-08-30 00:00:00,4,106,1190,S,S
inputFileOne,584700,22795324,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,SAN SALVO,CHIETI,ABRUZZO,54,M,FIAT - INNOCENTI,1242.00,BENZ,51,2016-04-18 00:00:00,5,120,1440,S,S
inputFileOne,317541,13327988,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,L'AQUILA,L'AQUILA,ABRUZZO,33,F,FORD,1399.00,GASOL,52,2012-01-13 00:00:00,5,107,1535,S,S
inputFileOne,327300,13911213,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,SPOLTORE,PESCARA,ABRUZZO,68,F,TOYOTA,1364.00,GASOL,66,2007-10-19 00:00:00,4,119,1525,S,S
inputFileOne,150616,6529370,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,COLLECORVINO,PESCARA,ABRUZZO,91,F,BMW,1573.00,BENZ,55,1982-12-21 00:00:00,0,,1440,N,N
inputFileOne,452810,18194426,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PINETO,TERAMO,ABRUZZO,38,F,SMART,999.00,BENZ,52,2008-05-09 00:00:00,4,112,1020,S,S
inputFileOne,379741,16605429,A,AUTOVEICOLO PER USO SPECIALE,PROPRIO,CASTEL CASTAGNA,TERAMO,ABRUZZO,31,M,FIAT - INNOCENTI,2499.00,GASOL,55,1986-06-04 00:00:00,0,,2850,N,N
inputFileOne,839373,36283396,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PESCARA,PESCARA,ABRUZZO,83,M,VOLKSWAGEN,999.00,BENZ,55,2014-05-22 00:00:00,6,116,1540,S,S
inputFileOne,477564,19585217,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,S.VINCENZO VAL.ROVETO,L'AQUILA,ABRUZZO,46,M,AUDI,1390.00,BENZ,55,2000-11-22 00:00:00,4,146,1380,S,S
inputFileTwo,617764,24619167,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,TORRICELLA PELIGNA,CHIETI,ABRUZZO,41,M,VOLKSWAGEN,1896.00,GASOL,66,2000-07-14 00:00:00,2,135,1780,S,S
inputFileTwo,236386,8665665,M,MOTOCICLO PER TRASPORTO PERSONE,PROPRIO,SCANNO,L'AQUILA,ABRUZZO,54,M,HONDA,279.00,BENZ,20,2010-10-04 00:00:00,3,,352,S,N
inputFileTwo,309687,12871942,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CASTELVECCHIO SUBEQUO,L'AQUILA,ABRUZZO,84,M,SMART,799.00,GASOL,40,2012-07-13 00:00:00,5,86,1050,S,S
inputFileTwo,994864,43995869,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,MOZZAGROGNA,CHIETI,ABRUZZO,58,M,AUDI,1968.00,GASOL,103,2008-06-12 00:00:00,4,143,1890,S,S
inputFileTwo,810268,34358906,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CRECCHIO,CHIETI,ABRUZZO,52,M,VOLKSWAGEN,1896.00,GASOL,77,2005-10-12 00:00:00,4,149,2000,S,S
inputFileTwo,1140421,50787130,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CEPAGATTI,PESCARA,ABRUZZO,33,M,SUZUKI,1560.00,GASOL,66,2007-09-28 00:00:00,4,139,1700,S,S
inputFileTwo,111498,4818772,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PESCARA,PESCARA,ABRUZZO,40,M,VOLKSWAGEN,1598.00,GASOL,77,2010-02-26 00:00:00,5,123,1890,S,S
inputFileTwo,825022,35447806,A,AUTOCARRO PER TRASPORTO DI COSE,PROPRIO,FRANCAVILLA AL MARE,CHIETI,ABRUZZO,70,M,,9161.00,GASOL,119,1963-01-01 00:00:00,0,,12850,N,N
