section,longname,sheet,keystrokes,description,lang,description_it,section_it
,menu-plot,BaseSheet,Alt+p,,it,,
,menu-row,BaseSheet,Alt+r,,it,,
,menu-system,BaseSheet,Alt+s,,it,,
,menu-view,BaseSheet,Alt+v,,it,,
,mouse-disable,BaseSheet,,disable mouse events,it,,
,mouse-enable,BaseSheet,,enable mouse events,it,,
,no-op,BaseSheet,BUTTON1_RELEASED,,it,,
,open-colors,BaseSheet,,open Color Sheet with available terminal colors,it,,
,open-config,BaseSheet,gShift+O,open options.config as text sheet,it,,
,open-dir-current,BaseSheet,,open Directory Sheet: browse properties of files in current directory,it,,
,open-file,BaseSheet,o,Open file or URL,it,,
,open-inputs,BaseSheet,,,it,,
,open-memusage,BaseSheet,zCtrl+T,open Memory Usage Sheet,it,,
,open-new,BaseSheet,Shift+A,Open new empty sheet,it,,
,open-plugins,BaseSheet,,Open Plugins Sheet to manage supported plugins,it,,
,open-source,BaseSheet,,jump to the source of this sheet,it,,
,open-statuses,BaseSheet,Ctrl+P,open Status History,it,,
,open-tutorial-visidata,BaseSheet,,open https://jsvine.github.io/intro-to-visidata/,it,,
,open-vd,BaseSheet,Shift+V,open VisiData menu: browse list of core sheets,it,,
,options-global,BaseSheet,Shift+O,open Options Sheet: edit global options (apply to all sheets),it,,
,options-sheet,BaseSheet,zShift+O,open Options Sheet: edit sheet options (apply to current sheet only),it,,
,pyobj-expr,BaseSheet,Ctrl+X,evaluate Python expression and open result as Python object,it,,
,pyobj-expr-row,BaseSheet,zCtrl+X,"evaluate Python expression, in context of current row, and open result as Python object",it,,
,pyobj-sheet,BaseSheet,gCtrl+Y,open current sheet as Python object,it,,
,quit-all,BaseSheet,gq,quit all sheets (clean exit),it,,
,quit-sheet,BaseSheet,q,quit current sheet,it,,
,quit-sheet-free,BaseSheet,Shift+Q,discard current sheet and free memory,it,,
,redo-last,BaseSheet,Shift+R,Redo the most recent undo (options.undo must be enabled),it,,
,redraw,BaseSheet,Ctrl+L,Refresh screen,it,,
,reload-sheet,BaseSheet,Ctrl+R,Reload current sheet,it,,
,rename-sheet,BaseSheet,,Rename current sheet,it,,
,repeat-input,BaseSheet,,"run previous command, along with any previous input to that command",it,,
,repeat-last,BaseSheet,,"run most recent command with an empty, queried input",it,,
,replay-advance,BaseSheet,Ctrl+N,execute next row in replaying sheet,it,,
,replay-pause,BaseSheet,Ctrl+U,pause/resume replay,it,,
,replay-stop,BaseSheet,Ctrl+C,cancel current replay,it,,
,save-all,BaseSheet,gCtrl+S,save all sheets to given file or directory),it,,
,save-cmdlog,BaseSheet,Ctrl+D,save CommandLog to filename.vd file,it,,
,save-sheet,BaseSheet,Ctrl+S,save current sheet to filename in format determined by extension (default .tsv),it,,
,sheets-all,BaseSheet,gShift+S,open Sheets Sheet: join or jump between all sheets from current session,it,,
,sheets-stack,BaseSheet,Shift+S,open Sheets Stack: join or jump between the active sheets on the current stack,it,,
,show-status,BaseSheet,,show given message on status line,it,,
,show-version,BaseSheet,Ctrl+V,Show version and copyright information on status line,it,,
,splitwin-close,BaseSheet,gShift+Z,close split screen,it,,
,splitwin-half,BaseSheet,Shift+Z,ensure split pane is set and push under sheet onto other pane,it,,
,splitwin-input,BaseSheet,zShift+Z,set split pane to specific size,it,,
,splitwin-swap,BaseSheet,Tab,jump to inactive pane,it,,
,splitwin-swap-pane,BaseSheet,gTab,swap panes onscreen,it,,
,suspend,BaseSheet,Ctrl+Z,suspend VisiData process,it,,
,sysopen-help,BaseSheet,gCtrl+H,Show the UNIX man page for VisiData,it,,
,threads-all,BaseSheet,Ctrl+T,open Threads Sheet,it,,
,toggle-profile,BaseSheet,Ctrl+_,Enable or disable profiling on main VisiData process,it,,
,undo-last,BaseSheet,Shift+U,Undo the most recent change (options.undo must be enabled),it,,
,delete-cursor,Canvas,d,delete rows on source sheet contained within canvas cursor,it,,
,delete-visible,Canvas,gd,delete rows on source sheet visible on screen,it,,
,dive-cursor,Canvas,Enter,open sheet of source rows contained within canvas cursor,it,,
,dive-visible,Canvas,gEnter,open sheet of source rows visible on screen,it,,
,end-cursor,Canvas,BUTTON1_RELEASED,end cursor box with left mouse button release,it,,
,end-move,Canvas,BUTTON3_RELEASED,mark canvas anchor point,it,,
,go-bottom,Canvas,gDown,move cursor to bottom edge of visible canvas,it,,
,go-down,Canvas,Down,move cursor down by its height,it,,
,go-down-small,Canvas,zj,move cursor down one character,it,,
,go-left,Canvas,Left,move cursor left by its width,it,,
,go-left-small,Canvas,zh,move cursor left one character,it,,
,go-leftmost,Canvas,gLeft,move cursor to left edge of visible canvas,it,,
,go-pagedown,Canvas,PgDn,move cursor down to next visible page,it,,
,go-pageup,Canvas,PgUp,move cursor up to previous visible page,it,,
,go-right,Canvas,Right,move cursor right by its width,it,,
,go-right-small,Canvas,zl,move cursor right one character,it,,
,go-rightmost,Canvas,gRight,move cursor to right edge of visible canvas,it,,
,go-top,Canvas,gUp,move cursor to top edge of visible canvas,it,,
,go-up,Canvas,Up,move cursor up by its height,it,,
,go-up-small,Canvas,zk,move cursor up one character,it,,
,resize-cursor-doubleheight,Canvas,gShift+K,double cursor height,it,,
,resize-cursor-doublewide,Canvas,gShift+L,double cursor width,it,,
,resize-cursor-halfheight,Canvas,gShift+J,halve cursor height,it,,
,resize-cursor-halfwide,Canvas,gShift+H,halve cursor width,it,,
,resize-cursor-shorter,Canvas,zUp,decrease cursor height by one character,it,,
,resize-cursor-taller,Canvas,zDown,increase cursor height by one character,it,,
,resize-cursor-thinner,Canvas,Ctrl+Left,decrease cursor width by one character,it,,
,resize-cursor-wider,Canvas,Ctrl+Right,increase cursor width by one character,it,,
,resize-x-input,Canvas,x,set xmin/xmax on graph axes,it,,
,resize-y-input,Canvas,y,set ymin/ymax on graph axes,it,,
,select-cursor,Canvas,s,select rows on source sheet contained within canvas cursor,it,,
,select-visible,Canvas,gs,select rows on source sheet visible on screen,it,,
,set-aspect,Canvas,z_,set aspect ratio,it,,
,start-cursor,Canvas,LeftClick,start cursor box with left mouse button press,it,,
,start-move,Canvas,RightClick,mark grid point to move,it,,
,stoggle-cursor,Canvas,t,toggle selection of rows on source sheet contained within canvas cursor,it,,
,stoggle-visible,Canvas,gt,toggle selection of rows on source sheet visible on screen,it,,
,unselect-cursor,Canvas,u,unselect rows on source sheet contained within canvas cursor,it,,
,unselect-visible,Canvas,gu,unselect rows on source sheet visible on screen,it,,
,zoom-all,Canvas,_,zoom to fit full extent,it,,
,zoom-cursor,Canvas,zz,set visible bounds to cursor,it,,
,zoomin-cursor,Canvas,+,zoom into cursor center,it,,
,zoomin-mouse,Canvas,ScrollwheelUp,zoom in with scroll wheel,it,,
,zoomout-cursor,Canvas,-,zoom out from cursor center,it,,
,zoomout-mouse,Canvas,ScrollwheelDown,zoom out with scroll wheel,it,,
,choose-rows,ChoiceSheet,Enter,,it,,
,choose-rows-selected,ChoiceSheet,gEnter,,it,,
,aggregate-cols,ColumnsSheet,g+,add aggregators to selected source columns,it,,
,freq-row,ColumnsSheet,Enter,open a Frequency Table sheet grouped on column referenced in current row,it,,
,hide-selected,ColumnsSheet,g-,hide selected columns on source sheet,it,,
,join-cols,ColumnsSheet,&,add column from concatenating selected source columns,it,,
,key-off-selected,ColumnsSheet,gz!,unset selected rows as key columns on source sheet,it,,
,key-selected,ColumnsSheet,g!,toggle selected rows as key columns on source sheet,it,,
,resize-source-rows-max,ColumnsSheet,,adjust widths of selected source columns,it,,
,type-any-selected,ColumnsSheet,gz~,set type of selected columns to anytype,it,,
,type-currency-selected,ColumnsSheet,g$,set type of selected columns to currency,it,,
,type-customdate-selected,ColumnsSheet,gz@,set type of selected columns to date,it,,
,type-date-selected,ColumnsSheet,g@,set type of selected columns to date,it,,
,type-float-selected,ColumnsSheet,g%,set type of selected columns to float,it,,
,type-floatlocale-selected,ColumnsSheet,,set type of selected columns to float using system locale,it,,
,type-floatsi-selected,ColumnsSheet,gz%,set type of selected columns to floatsi,it,,
,type-int-selected,ColumnsSheet,g#,set type of selected columns to int,it,,
,type-len-selected,ColumnsSheet,gz#,set type of selected columns to len,it,,
,type-string-selected,ColumnsSheet,g~,set type of selected columns to str,it,,
,replay-all,CommandLog,gx,replay contents of entire CommandLog,it,,
,replay-row,CommandLog,x,replay command in current row,it,,
,replay-stop,CommandLog,Ctrl+C,abort replay,it,,
,replay-all,CommandLogJsonl,gx,replay contents of entire CommandLog,it,,
,replay-row,CommandLogJsonl,x,replay command in current row,it,,
,replay-stop,CommandLogJsonl,Ctrl+C,abort replay,it,,
,open-grid,CrosswordSheet,Enter,open GridSheet: grid for crossword,it,,
,open-clues,CrosswordsSheet,Enter,open CrosswordSheet: clue answer pair for crossword,it,,
,select-cell,DescribeSheet,zs,select rows on source sheet which are being described in current cell,it,,
,unselect-cell,DescribeSheet,zu,unselect rows on source sheet which are being described in current cell,it,,
,copy-row,DirSheet,y,copy file to given directory,it,,
,copy-selected,DirSheet,gy,copy selected files to given directory,it,,
,open-row,DirSheet,Enter,open current file as a new sheet,it,,
,open-rows,DirSheet,gEnter,open selected files as new sheets,it,,
,sysopen-row,DirSheet,Ctrl+O,open current file in external $EDITOR,it,,
,sysopen-rows,DirSheet,gCtrl+O,open selected files in external $EDITOR,it,,
,extract-part,EmailSheet,x,,it,,
,extract-part-selected,EmailSheet,gx,,it,,
,dive-rows,FreqTableSheet,gEnter,open copy of source sheet with rows that are grouped in selected rows,it,,
,unselect-rows,FreqTableSheet,gu,unselect all source rows grouped in current row,it,,
,save-sheet,GeoJSONMap,Ctrl+S,save current sheet to filename in format determined by extension (default .geojson),it,,
,plot-row,GeoJSONSheet,.,plot geospatial vector in current row,it,,
,plot-rows,GeoJSONSheet,g.,plot all geospatial vectors in current sheet,it,,
,dive-metadata,Hdf5ObjSheet,Shift+A,open metadata sheet for object referenced in current row,it,,
,exec-command,HelpSheet,Enter,execute command on undersheet,it,,
,join-selected,IndexSheet,&,"merge selected sheets with visible columns from all, keeping rows according to jointype",it,,
,reload-selected,IndexSheet,gCtrl+R,reload all selected sheets,it,,
,save-selected,IndexSheet,gCtrl+S,save all selected sheets to given file or directory,it,,
,go-bottom,InvertedCanvas,gDown,move cursor to bottom edge of visible canvas,it,,
,go-down,InvertedCanvas,Down,move cursor down by its height,it,,
,go-down-small,InvertedCanvas,zj,move cursor down one character,it,,
,go-pagedown,InvertedCanvas,PgDn,move cursor down to next visible page,it,,
,go-pageup,InvertedCanvas,PgUp,move cursor up to previous visible page,it,,
,go-top,InvertedCanvas,gUp,move cursor to top edge of visible canvas,it,,
,go-up,InvertedCanvas,Up,move cursor up by its height,it,,
,go-up-small,InvertedCanvas,zk,move cursor up one character,it,,
,resize-cursor-shorter,InvertedCanvas,zUp,decrease cursor height by one character,it,,
,resize-cursor-taller,InvertedCanvas,zDown,increase cursor height by one character,it,,
,plot-row,MbtilesSheet,.,plot tiles in current row,it,,
,plot-selected,MbtilesSheet,g.,plot selected tiles,it,,
,edit-option,OptionsSheet,Enter,edit option at current row,it,,
,unset-option,OptionsSheet,d,remove option override for this context,it,,
,plot-sheet,PNGSheet,.,plot this png,it,,
,open-row,PandasFreqTableSheet,Enter,open copy of source sheet with rows that are grouped in current row,it,,
,select-row,PandasFreqTableSheet,s,select rows grouped in current row in source sheet,it,,
,stoggle-row,PandasFreqTableSheet,t,toggle selection of rows grouped in current row in source sheet,it,,
,unselect-row,PandasFreqTableSheet,u,unselect rows grouped in current row in source sheet,it,,
,dup-selected,PandasSheet,"""",open duplicate sheet with only selected rows,it,,
,freq-col,PandasSheet,Shift+F,"open Frequency Table grouped on current column, with aggregations of other columns",it,,
,freq-keys,PandasSheet,gShift+F,"open Frequency Table grouped by all key columns on source sheet, with aggregations of other columns",it,,
,random-rows,PandasSheet,,open duplicate sheet with a random population subset of N rows,it,,
,select-after,PandasSheet,gzs,select all rows from cursor to bottom,it,,
,select-before,PandasSheet,zs,select all rows from top to cursor,it,,
,select-col-regex,PandasSheet,|,select rows matching regex in current column,it,,
,select-cols-regex,PandasSheet,g|,select rows matching regex in any visible column,it,,
,select-rows,PandasSheet,gs,select all rows,it,,
,stoggle-after,PandasSheet,gzt,toggle selection of rows from cursor to bottom,it,,
,stoggle-before,PandasSheet,zt,toggle selection of rows from top to cursor,it,,
,stoggle-rows,PandasSheet,gt,toggle selection of all rows,it,,
,unselect-after,PandasSheet,gzu,unselect all rows from cursor to bottom,it,,
,unselect-before,PandasSheet,zu,unselect all rows from top to cursor,it,,
,unselect-col-regex,PandasSheet,\,unselect rows matching regex in current column,it,,
,unselect-cols-regex,PandasSheet,g\,unselect rows matching regex in any visible column,it,,
,unselect-rows,PandasSheet,gu,unselect all rows,it,,
,plot-row,PbfSheet,.,plot blocks in current row,it,,
,plot-rows,PbfSheet,g.,plot selected blocks,it,,
,flows,PcapSheet,Shift+W,,it,,
,l2-packet,PcapSheet,2,,it,,
,l3-packet,PcapSheet,3,,it,,
,visibility,Plotter,v,toggle show_graph_labels option,it,,
,add-plugin,PluginsSheet,a,Install and enable current plugin,it,,
,delete-plugin,PluginsSheet,d,Disable current plugin,it,,
,save-profile,ProfileSheet,zCtrl+S,save profile,it,,
,sysopen-row,ProfileSheet,Ctrl+O,open current file at referenced row in external $EDITOR,it,,
,sysopen-row,ProfileStatsSheet,Ctrl+O,open current file at referenced row in external $EDITOR,it,,
,hide-hidden,PyobjSheet,zv,hide methods and hidden properties,it,,
,show-hidden,PyobjSheet,gv,show methods and hidden properties,it,,
,visibility,PyobjSheet,v,toggle show/hide for methods and hidden properties,it,,
,save-sheet,ShapeMap,Ctrl+S,save current sheet to filename in format determined by extension (default .geojson),it,,
,plot-row,ShapeSheet,.,plot geospatial vector in current row,it,,
,plot-rows,ShapeSheet,g.,plot all geospatial vectors in current sheet,it,,
,cancel-row,SheetsSheet,zCtrl+C,abort async thread for current sheet,it,,
,cancel-rows,SheetsSheet,gzCtrl+C,abort async threads for selected sheets,it,,
,columns-selected,SheetsSheet,gShift+C,open Columns Sheet with all visible columns from selected sheets,it,,
,describe-selected,SheetsSheet,gShift+I,open Describe Sheet with all visble columns from selected sheets,it,,
,open-row,SheetsSheet,Enter,open sheet referenced in current row,it,,
,add-table,SqliteIndexSheet,a,stub; add table by saving a sheet to the db file instead,it,,
,add-row,TableSheet,a,append a blank row,it,,
,add-rows,TableSheet,ga,append N blank rows,it,,
,addcol-bulk,TableSheet,gza,append N empty columns,it,,
,addcol-expr,TableSheet,=,"create new column from Python expression, with column names as variables",it,,
,addcol-incr,TableSheet,i,add column with incremental values,it,,
,addcol-incr-step,TableSheet,zi,add column with incremental values times given step,it,,
,addcol-new,TableSheet,za,append an empty column,it,,
,addcol-sh,TableSheet,z;,"create new column from bash expression, with $columnNames as variables",it,,
,aggregate-col,TableSheet,+,Add aggregator to current column,it,,
,cache-col,TableSheet,z',add/reset cache for current column,it,,
,cache-cols,TableSheet,gz',add/reset cache for all visible columns,it,,
,capture-col,TableSheet,;,add new column from capture groups of regex; requires example row,it,,
,clean-names,TableSheet,,,it,,
,columns-sheet,TableSheet,Shift+C,open Columns Sheet: edit column properties for current sheet,it,,
,commit-sheet,TableSheet,zCtrl+S,commit changes back to source.  not undoable!,it,,
,contract-col,TableSheet,),unexpand current column; restore original column and remove other columns at this level,it,,
,copy-cell,TableSheet,zy,yank (copy) current cell to clipboard,it,,
,copy-cells,TableSheet,gzy,yank (copy) contents of current column for selected rows to clipboard,it,,
,copy-row,TableSheet,y,yank (copy) current row to clipboard,it,,
,copy-selected,TableSheet,gy,yank (copy) selected rows to clipboard,it,,
,cut-cell,TableSheet,zx,delete (cut) current cell and move it to clipboard,it,,
,cut-cells,TableSheet,gzx,delete (cut) contents of current column for selected rows and move them to clipboard,it,,
,cut-row,TableSheet,x,delete (cut) current row and move it to clipboard,it,,
,cut-selected,TableSheet,gx,delete (cut) selected rows and move them to clipboard,it,,
,delete-cell,TableSheet,zd,delete current cell (set to None),it,,
,delete-cells,TableSheet,gzd,delete contents of current column for selected rows (set to None),it,,
,delete-row,TableSheet,d,delete current row,it,,
,delete-selected,TableSheet,gd,delete selected rows,it,,
,describe-sheet,TableSheet,Shift+I,open Describe Sheet with descriptive statistics for all visible columns,it,,
,dive-selected,TableSheet,gEnter,open sheet with copies of rows referenced in selected rows,it,,
,dive-selected-cells,TableSheet,gzEnter,open sheet with copies of rows referenced in selected rows,it,,
,dup-rows,TableSheet,"g""",open duplicate sheet with all rows,it,,
,dup-rows-deep,TableSheet,"gz""",open duplicate sheet with deepcopy of all rows,it,,
,dup-selected,TableSheet,"""",open duplicate sheet with only selected rows,it,,
,dup-selected-deep,TableSheet,"z""",open duplicate sheet with deepcopy of selected rows,it,,
,edit-cell,TableSheet,e,edit contents of current cell,it,,
,expand-col,TableSheet,(,expand current column of containers one level,it,,
,expand-col-depth,TableSheet,z(,expand current column of containers to given depth (0=fully),it,,
,expand-cols,TableSheet,g(,expand all visible columns of containers one level,it,,
,expand-cols-depth,TableSheet,gz(,expand all visible columns of containers to given depth (0=fully),it,,
,freeze-col,TableSheet,',add a frozen copy of current column with all cells evaluated,it,,
,freeze-sheet,TableSheet,g',open a frozen copy of current sheet with all visible columns evaluated,it,,
,freq-col,TableSheet,Shift+F,"open Frequency Table grouped on current column, with aggregations of other columns",it,,
,freq-keys,TableSheet,gShift+F,"open Frequency Table grouped by all key columns on source sheet, with aggregations of other columns",it,,
,freq-summary,TableSheet,zShift+F,open one-line summary for all rows and selected rows,it,,
,go-bottom,TableSheet,gDown,go all the way to the bottom of sheet,it,,
,go-col-number,TableSheet,zc,go to given column number (0-based),it,,
,go-col-regex,TableSheet,c,go to next column with name matching regex,it,,
,go-down,TableSheet,Down,go down,it,,
,go-end,TableSheet,,go to last row and last column,it,,
,go-home,TableSheet,,go to first row and first column,it,,
,go-left,TableSheet,Left,go left,it,,
,go-left-page,TableSheet,Ctrl+Left,scroll cursor one page left,it,,
,go-leftmost,TableSheet,gLeft,go all the way to the left of sheet,it,,
,go-mouse,TableSheet,LeftClick,set cursor to row and column where mouse was clicked,it,,
,go-next-null,TableSheet,z>,go down current column to next null value,it,,
,go-next-selected,TableSheet,},go down current column to next selected row,it,,
,go-next-value,TableSheet,>,go down current column to next value,it,,
,go-pagedown,TableSheet,PgDn,scroll one page forward,it,,
,go-pageup,TableSheet,PgUp,scroll one page backward,it,,
,go-prev-null,TableSheet,z<,go up current column to next null value,it,,
,go-prev-selected,TableSheet,{,go up current column to previous selected row,it,,
,go-prev-value,TableSheet,<,go up current column to next value,it,,
,go-right,TableSheet,Right,go right,it,,
,go-right-page,TableSheet,Ctrl+Right,scroll cursor one page right,it,,
,go-rightmost,TableSheet,gRight,go all the way to the right of sheet,it,,
,go-row-number,TableSheet,zr,go to the given row number (0-based),it,,
,go-top,TableSheet,gUp,go all the way to the top of sheet,it,,
,go-up,TableSheet,Up,go up,it,,
,hide-col,TableSheet,-,Hide current column,it,,
,join-sheets-all,TableSheet,g&,concatenate all sheets in Sheets Stack,it,,
,join-sheets-top2,TableSheet,&,concatenate top two sheets in Sheets Stack,it,,
,key-col,TableSheet,!,toggle current column as a key column,it,,
,key-col-off,TableSheet,z!,unset current column as a key column,it,,
,macro-record,TableSheet,m,record macro,it,,
,macro-sheet,TableSheet,gm,open macros sheet,it,,
,melt,TableSheet,Shift+M,"open Melted Sheet (unpivot), with key columns retained and all non-key columns reduced to Variable-Value rows",it,,
,melt-regex,TableSheet,gShift+M,"open Melted Sheet (unpivot), with key columns retained and regex capture groups determining how the non-key columns will be reduced to Variable-Value rows",it,,
,memo-aggregate,TableSheet,z+,memo result of aggregator over values in selected rows for current column,it,,
,memo-cell,TableSheet,Alt+m,store value in current cell in Memory Sheet,it,,
,open-cell,TableSheet,zEnter,open sheet with copies of rows referenced in current cell,it,,
,open-memos,TableSheet,Alt+M,open the Memory Sheet,it,,
,open-row,TableSheet,Enter,open sheet with copies of rows referenced in current row,it,,
,paste-after,TableSheet,p,paste clipboard rows after current row,it,,
,paste-before,TableSheet,Shift+P,paste clipboard rows before current row,it,,
,paste-cell,TableSheet,zp,set contents of current cell to last clipboard value,it,,
,pivot,TableSheet,Shift+W,open Pivot Table: group rows by key column and summarize current column,it,,
,plot-column,TableSheet,.,"plot current numeric column vs key columns; numeric key column is used for x-axis, while categorical key columns determine color",it,,
,plot-numerics,TableSheet,g.,plot a graph of all visible numeric columns vs key columns,it,,
,pyobj-cell,TableSheet,zCtrl+Y,open current cell as Python object,it,,
,pyobj-row,TableSheet,Ctrl+Y,open current row as Python object,it,,
,random-rows,TableSheet,,open duplicate sheet with a random population subset of N rows,it,,
,rename-col,TableSheet,^,edit name of current column,it,,
,rename-col-selected,TableSheet,z^,set name of current column to combined contents of current cell in selected rows (or current row),it,,
,rename-cols-row,TableSheet,g^,set names of all unnamed visible columns to contents of selected rows (or current row),it,,
,rename-cols-selected,TableSheet,gz^,set names of all visible columns to combined contents of selected rows (or current row),it,,
,resize-col-half,TableSheet,z-,reduce width of current column by half,it,,
,resize-col-input,TableSheet,z_,adjust width of current column to N,it,,
,resize-col-max,TableSheet,_,toggle width of current column between full and default width,it,,
,resize-cols-input,TableSheet,gz_,adjust widths of all visible columns to N,it,,
,resize-cols-max,TableSheet,g_,toggle widths of all visible clumns between full and default width,it,,
,save-col,TableSheet,,save current column only to filename in format determined by extension (default .tsv),it,,
,save-col-keys,TableSheet,,save key columns and current column to filename in format determined by extension (default .tsv),it,,
,scroll-cells-bottom,TableSheet,gzj,scroll display of current column to the bottom,it,,
,scroll-cells-down,TableSheet,zj,scroll display of current column down one line,it,,
,scroll-cells-left,TableSheet,zh,scroll display of current column to the left,it,,
,scroll-cells-leftmost,TableSheet,gzh,scroll display of current column to the beginning,it,,
,scroll-cells-right,TableSheet,zl,scroll display of current column to the right,it,,
,scroll-cells-rightmost,TableSheet,gzl,scroll display of current column to the end,it,,
,scroll-cells-top,TableSheet,gzk,scroll display of current column to the top,it,,
,scroll-cells-up,TableSheet,zk,scroll display of current column up one line,it,,
,scroll-down,TableSheet,ScrollwheelDown,scroll one row down,it,,
,scroll-left,TableSheet,CTRL-ScrollwheelUp,scroll one column left,it,,
,scroll-leftmost,TableSheet,,scroll sheet to leftmost column,it,,
,scroll-middle,TableSheet,zz,scroll current row to center of screen,it,,
,scroll-mouse,TableSheet,,scroll to mouse cursor location,it,,
,scroll-right,TableSheet,CTRL-ScrollwheelDown,scroll one column right,it,,
,scroll-rightmost,TableSheet,,scroll sheet to rightmost column,it,,
,scroll-up,TableSheet,ScrollwheelUp,scroll one row up,it,,
,search-col,TableSheet,/,search for regex forwards in current column,it,,
,search-cols,TableSheet,g/,search for regex forwards over all visible columns,it,,
,search-expr,TableSheet,z/,search by Python expression forwards in current column (with column names as variables),it,,
,search-keys,TableSheet,r,go to next row with key matching regex,it,,
,search-next,TableSheet,n,go to next match from last regex search,it,,
,searchr-col,TableSheet,?,search for regex backwards in current column,it,,
,searchr-cols,TableSheet,g?,search for regex backwards over all visible columns,it,,
,searchr-expr,TableSheet,z?,search by Python expression backwards in current column (with column names as variables),it,,
,searchr-next,TableSheet,Shift+N,go to previous match from last regex search,it,,
,select-after,TableSheet,gzs,select all rows from cursor to bottom,it,,
,select-before,TableSheet,zs,select all rows from top to cursor,it,,
,select-col-regex,TableSheet,|,select rows matching regex in current column,it,,
,select-cols-regex,TableSheet,g|,select rows matching regex in any visible column,it,,
,select-equal-cell,TableSheet,",",select rows matching current cell in current column,it,,
,select-equal-row,TableSheet,"g,",select rows matching current row in all visible columns,it,,
,select-error,TableSheet,,select rows with errors in any column,it,,
,select-error-col,TableSheet,,select rows with errors in current column,it,,
,select-exact-cell,TableSheet,"z,",select rows matching current cell in current column,it,,
,select-exact-row,TableSheet,"gz,",select rows matching current row in all visible columns,it,,
,select-expr,TableSheet,z|,select rows matching Python expression in any visible column,it,,
,select-row,TableSheet,s,select current row,it,,
,select-rows,TableSheet,gs,select all rows,it,,
,setcell-expr,TableSheet,z=,evaluate Python expression on current row and set current cell with result of Python expression,it,,
,setcol-clipboard,TableSheet,gzp,set cells of current column for selected rows to last clipboard value,it,,
,setcol-expr,TableSheet,g=,set current column for selected rows to result of Python expression,it,,
,setcol-fill,TableSheet,f,fills null cells in selected rows of current column with contents of non-null cells up the current column,it,,
,setcol-incr,TableSheet,gi,set current column for selected rows to incremental values,it,,
,setcol-incr-step,TableSheet,gzi,set current column for selected rows to incremental values times given step,it,,
,setcol-input,TableSheet,ge,set contents of current column for selected rows to same input,it,,
,setcol-iter,TableSheet,gz=,set current column for selected rows to the items in result of Python sequence expression,it,,
,setcol-subst,TableSheet,g*,"regex/subst - modify selected rows in current column, replacing regex with subst, (may include backreferences \1 etc)",it,,
,setcol-subst-all,TableSheet,gz*,"modify selected rows in all visible columns, replacing regex with subst (may include \1 backrefs)",it,,
,show-cursor,TableSheet,Ctrl+G,show cursor position and bounds of current sheet on status line,it,,
,show-expr,TableSheet,,evaluate Python expression on current row and show result on status line,it,,
