section,longname,sheet,keystrokes,description,lang,description_it,section_it
Other Commands,error-recent,BaseSheet,Ctrl+E,view traceback for most recent error,it,Visualizza il traceback per l'errore più recente,Altri comandi
Other Commands,errors-all,BaseSheet,gCtrl+E,view traceback for most recent errors,it,Visualizza il traceback per gli errori più recenti,Altri comandi
Other Commands,error-cell,TableSheet,zCtrl+E,view traceback for error in current cell,it,Visualizza il trackback per l'errore nella cella corrente,Altri comandi
,cancel-all,BaseSheet,gCtrl+C,abort all secondary threads,it,,
,cancel-sheet,BaseSheet,Ctrl+C,abort all threads on current sheet,it,,
,check-version,BaseSheet,zCtrl+V,check VisiData version against given version,it,,
,cmdlog-all,BaseSheet,gShift+D,open global CommandLog for all commands executed in current session,it,,
,cmdlog-sheet,BaseSheet,Shift+D,open current sheet's CommandLog with all other loose ends removed; includes commands from parent sheets,it,,
,cmdlog-sheet-only,BaseSheet,zShift+D,open current sheet's CommandLog with parent sheets commands' removed,it,,
,columns-all,BaseSheet,gShift+C,open Columns Sheet: edit column properties for all visible columns from all sheets,it,,
,describe-all,BaseSheet,gShift+I,open Describe Sheet with description statistics for all visible columns from all sheets,it,,
,exec-longname,BaseSheet,Space,execute command by its longname,it,,
,exec-python,BaseSheet,,execute Python statement with expression scope,it,,
,guard-sheet,BaseSheet,,Set quitguard on current sheet to confirm before quit,it,,
,help-commands,BaseSheet,zCtrl+H,view sheet of command longnames and keybindings for current sheet,it,,
,help-commands-all,BaseSheet,gzCtrl+H,view sheet of command longnames and keybindings for all sheet types,it,,
,help-search,BaseSheet,,search through command longnames with search terms,it,,
,import-python,BaseSheet,gCtrl+X,import Python module in the global scope,it,,
,jump-first,BaseSheet,gCtrl+^,jump to first sheet,it,,
,jump-prev,BaseSheet,Ctrl+^,jump to previous sheet in this pane,it,,
,jump-sheet-1,BaseSheet,Alt+1,jump to sheet 1,it,,
,jump-sheet-10,BaseSheet,Alt+0,jump to sheet 10,it,,
,jump-sheet-2,BaseSheet,Alt+2,jump to sheet 2,it,,
,jump-sheet-3,BaseSheet,Alt+3,jump to sheet 3,it,,
,jump-sheet-4,BaseSheet,Alt+4,jump to sheet 4,it,,
,jump-sheet-5,BaseSheet,Alt+5,jump to sheet 5,it,,
,jump-sheet-6,BaseSheet,Alt+6,jump to sheet 6,it,,
,jump-sheet-7,BaseSheet,Alt+7,jump to sheet 7,it,,
,jump-sheet-8,BaseSheet,Alt+8,jump to sheet 8,it,,
,jump-sheet-9,BaseSheet,Alt+9,jump to sheet 9,it,,
,menu-column,BaseSheet,Alt+c,,it,,
,menu-data,BaseSheet,Alt+d,,it,,
,menu-edit,BaseSheet,Alt+e,,it,,
,menu-file,BaseSheet,Alt+f,,it,,
,menu-help,BaseSheet,Alt+h,,it,,
