id,progressivo,tipo_veicolo,destinazione,uso,comune_residenza,provincia_residenza,regione_residenza,eta_intestatario,sesso,marca,cilindrata,alimentazione,kw,data_immatricolazione,classe_euro,emissioni_co2,massa_complessiva,revisione_in_regola,assicurazione_in_regola
617764,24619167,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,TORRICELLA PELIGNA,CHIETI,ABRUZZO,41,M,VOLKSWAGEN,1896.00,GASOL,66,2000-07-14 00:00:00,2,135,1780,S,S
236386,8665665,M,MOTOCICLO PER TRASPORTO PERSONE,PROPRIO,SCANNO,L'AQUILA,ABRUZZO,54,M,HONDA,279.00,BENZ,20,2010-10-04 00:00:00,3,,352,S,N
309687,12871942,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CASTELVECCHIO SUBEQUO,L'AQUILA,ABRUZZO,84,M,SMART,799.00,GASOL,40,2012-07-13 00:00:00,5,86,1050,S,S
994864,43995869,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,MOZZAGROGNA,CHIETI,ABRUZZO,58,M,AUDI,1968.00,GASOL,103,2008-06-12 00:00:00,4,143,1890,S,S
810268,34358906,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CRECCHIO,CHIETI,ABRUZZO,52,M,VOLKSWAGEN,1896.00,GASOL,77,2005-10-12 00:00:00,4,149,2000,S,S
1140421,50787130,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CEPAGATTI,PESCARA,ABRUZZO,33,M,SUZUKI,1560.00,GASOL,66,2007-09-28 00:00:00,4,139,1700,S,S
111498,4818772,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PESCARA,PESCARA,ABRUZZO,40,M,VOLKSWAGEN,1598.00,GASOL,77,2010-02-26 00:00:00,5,123,1890,S,S
825022,35447806,A,AUTOCARRO PER TRASPORTO DI COSE,PROPRIO,FRANCAVILLA AL MARE,CHIETI,ABRUZZO,70,M,,9161.00,GASOL,119,1963-01-01 00:00:00,0,,12850,N,N
412574,17106861,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CITTA' SANT'ANGELO,PESCARA,ABRUZZO,51,F,MERCEDES,1598.00,BENZ,75,1999-09-03 00:00:00,2,,1500,S,S
250504,9461214,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PESCARA,PESCARA,ABRUZZO,52,F,LANCIA - AUTOBIANCHI,1108.00,BENZ,41,1990-10-29 00:00:00,0,,1195,S,S
685101,28524960,A,AUTOCARRO PER TRASPORTO DI COSE,PROPRIO,TORTORETO,TERAMO,ABRUZZO,84,M,FIAT - INNOCENTI,2500.00,GASOL,62,1996-12-31 00:00:00,2,,3250,N,N
189962,6904095,A,AUTOVEIC.TRASP.PROMISCUO PERSONE/COSE,PROPRIO,SANT'OMERO,TERAMO,ABRUZZO,47,M,FIAT - INNOCENTI,2088.00,GASOL,80,1999-06-03 00:00:00,2,,2385,N,N
535349,20635365,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,AVEZZANO,L'AQUILA,ABRUZZO,79,M,FORD,1597.00,B/GPL,65,1991-01-01 00:00:00,0,,1465,N,N
377372,16577468,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,NERETO,TERAMO,ABRUZZO,73,M,RENAULT,1390.00,BENZ,57,1990-01-01 00:00:00,0,,1400,N,N
305827,12627377,M,MOTOCICLO PER TRASPORTO PERSONE,PROPRIO,SAN GIOVANNI TEATINO,CHIETI,ABRUZZO,42,F,KYMCO,125.00,BENZ,7,2005-04-15 00:00:00,2,,276,N,N
548979,20948702,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,L'AQUILA,L'AQUILA,ABRUZZO,56,M,HONDA,1343.00,BENZ,48,2000-12-05 00:00:00,3,150,1365,S,S
658275,26919859,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,SAN GIOVANNI TEATINO,CHIETI,ABRUZZO,38,M,FORD,1242.00,BENZ,51,2011-09-07 00:00:00,5,115,1320,S,S
986849,43606753,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,MONTESILVANO,PESCARA,ABRUZZO,58,F,FIAT - INNOCENTI,1248.00,GASOL,55,2009-11-06 00:00:00,4,119,1650,S,S
654237,26686263,M,MOTOCICLO PER TRASPORTO PERSONE,PROPRIO,MONTESILVANO,PESCARA,ABRUZZO,56,M,SUZUKI,400.00,BENZ,24,2012-03-16 00:00:00,3,,415,S,N
524733,20354539,M,QUADRICICLO PER TRASP. DI PERSONE,PROPRIO,ROSETO DEGLI ABRUZZI,TERAMO,ABRUZZO,43,M,POLARIS,498.00,BENZ,9,2003-02-04 00:00:00,0,,500,N,N
